professor_name,classname,date,quality_rating,difficulty_rating,comments
Luis Ardila,CIV100,"Dec 4th, 2024",5.0,2.0,"I was able to learn the course material very well thanks to Professor Ardilla's detailed lectures and attention to detail. He would hold review sessions when he felt the class was falling behind on course content, and was very engaging throughout the semester. If you have Professor Ardilla as your mechanics teacher, you are in good hands."
Michael Seica,CIV100,"Jan 13th, 2025",3.0,4.0,"Seica is a fascinating specimen; an enigma of sorts. He doesn't teach well, but has a very thought provoking character. I didn't attend many of his lectures, but this is because I often fainted in the presence of his irradiating persona. If you just care about grades, just grinding his past exams will likely set you up for success."
Michael Seica,CIV100,"Jan 10th, 2025",2.0,5.0,Very hard midterms and very poor lectures. However the curve is insane. If you ride the curve you should be fine.
Michael Seica,CIV100,"Dec 20th, 2024",1.0,5.0,"Took this class in first year (2019), never emotionally recovered, had to come back here to warn others. If you're reading this, beware."
Michael Seica,CIV100,"Dec 13th, 2024",1.0,5.0,"No, never let him cook again"
Michael Seica,CIV100,"Nov 28th, 2024",5.0,1.0,W professor. Changed my perspective on learning. the way he teaches global equilibrium 🙏 😍😩
Michael Seica,CIV100,"Nov 16th, 2024",3.0,4.0,"Michael Seica gives you an assignment worth 0.5% that takes four hours out of your day every week.
But there isn't one this week.
Also CIV100 is an interesting course, even if the questions could only be created by someone from the deepest depths of Tartarus. 
Lenient on part marks though :)))) you'll never get seica him"
Michael Seica,CIV100,"Sep 27th, 2024",5.0,1.0,Mr.Aura himself. Those who disrespect daddy seica will feel his wrath. D10 didn't stand a chance...
Michael Seica,CIV100,"Sep 25th, 2024",5.0,3.0,"A Professor. Nay, a mentor.

A Chinese proverb says:
""Teacher for a day, father for a lifetime.""

My father was absent throughout my childhood; but, the first day in Seica's classroom, my life became whole.

Seica greets students with a warmth I can only describe as lifechanging.

If you have him for CIV100, run forward into his loving embrace."
Michael Seica,CIV100,"Sep 24th, 2024",5.0,5.0,Daddy Seica can have my kids 🥱
Michael Seica,APS160,"May 2nd, 2024",2.0,5.0,Good luck to the people doing online tutorials. Good guy though
Michael Seica,CIV100,"Apr 18th, 2024",5.0,1.0,Very good!
Michael Seica,CIV100,"Jan 31st, 2024",1.0,5.0,Exam is hard as fxxk
Michael Seica,CIV100,"Jan 11th, 2024",3.0,4.0,"IF YOU HAVE CIV100, DO AS MANY PAST PAPERS AS YOU CAN. ACTUALLY CONCEPTUALIZE EVERYTHING AND DON'T LOOK AT THE ANSWERS AND ACT LIKE YOU KNOW WHATS GOING ON. ITS OKAY IF THE CONCEPT TAKES TIME TO SINK, KEEP PUSHING THROUGH; I KNOW YOU GUYS CAN DO IT!!!!!!!!!!! IK YOU GUYS CAN BOSS THE EXAM LIKE ITS JUST A LICKLE' MIYUTE, YOU GUYS GOT THIS STYL!!!!!!"
Michael Seica,APS160,"Nov 10th, 2023",5.0,3.0,The online videos were helpful in the course & It helped me to get a way higher grade than the average in the midterm which means I was better than people who were taking the lectures in-class. Those videos are really helpful.
Michael Seica,CIV100,"Oct 31st, 2023",1.0,5.0,"His test is extremely hard, my life is nightmare"
Michael Seica,CIV100,"Oct 10th, 2023",4.0,3.0,Seica Underrated
Michael Seica,CIV100,"Sep 20th, 2023",5.0,1.0,"I love my daddy sieca, ws in the chat for seica"
Michael Seica,CIV100,"Jun 19th, 2023",2.0,4.0,Don't bother going to Seica's lectures. Watch Jeff Hanson on youtube and you will do well.
Michael Seica,CIV100,"Apr 2nd, 2023",2.0,5.0,Mast...lovely introduction videos....life lessons regarding couples.
Michael Seica,CIV100,"Feb 27th, 2023",5.0,1.0,"Michael Seica is an excellent professor for CIV100 due to his engaging teaching style, extensive knowledge, willingness to help students, and incorporation of real-world examples. He creates a positive learning environment and instills a passion for static mechanics in his students."
Michael Seica,CIV100,"Jan 14th, 2023",2.0,5.0,"There is too much content and the in-person lectures go at too quick of a pace to get anything across to his students. His online lectures, however, are much better and he makes them available, although they are still not the best. Exams are really tough. He doesn't care about the students it shows when students ask questions."
