title,department
CPT 5100 Advanced Competencies in Financial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/cpt/
"CPT 5101 Advanced Competencies in Audit, Assurance and Governance (3 units)",https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5102 Advanced Competencies in Strategy and Management Accounting (3 units),https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5103 Advanced Competencies in Taxation (3 units),https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5104 Integration of Advanced Competencies in Accountancy (3 units),https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5500 Compétences avancées en comptabilité financière (3 crédits),https://catalogue.uottawa.ca/en/courses/cpt/
"CPT 5501 Compétences avancées en audit, certification et gouvernance (3 crédits)",https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5502 Compétences avancées en stratégie et comptabilité de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5503 Compétences avancées en fiscalité (3 crédits),https://catalogue.uottawa.ca/en/courses/cpt/
CPT 5504 Intégration des compétences avancées en comptabilité (3 crédits),https://catalogue.uottawa.ca/en/courses/cpt/
ADM 1100 Introduction to Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1101 Business and Society (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1300 Introduction to Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1301 Business and Society (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1305 Mathematics for Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1340 Financial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1370 Applications of Information Technology for Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1500 Introduction à la gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1501 Gestion et société (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1700 Introduction à la gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1701 Gestion et société (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1705 Mathématiques pour la gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1740 Comptabilité financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 1770 Applications des technologies de l'information en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2302 Business Analytics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2303 Statistics for Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2304 Applications of Statistical Methods in Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2313 The Entrepreneurial Society (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2320 Marketing (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2336 Organizational Behaviour (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2337 Human Resource Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2341 Managerial Accounting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2342 Intermediate Accounting I (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2350 Financial Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2352 Finance Theory (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2372 Management Information Systems (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2381 Business Communication Skills (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2702 Analytique de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2703 Les statistiques en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2704 Application des méthodes statistiques en gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2713 La société entrepreneuriale (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2720 Marketing (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2736 Comportement organisationnel (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2737 Gestion des ressources humaines (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2738 Gestion des ressources humaines en milieu Innu (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2741 Comptabilité de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2742 Comptabilité intermédiaire I (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2750 Gestion financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2752 Théorie financière (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2772 Systèmes d'information de gestion (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2781 Habiletés de communication d'affaires (3 crédits),https://catalogue.uottawa.ca/en/courses/adm/
ADM 2901 Stage coop / Co-op Work Term (3 crédits / 3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3118 International Business (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3301 Operations Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3302 Supply Chain Management (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3304 Management Consulting (3 units),https://catalogue.uottawa.ca/en/courses/adm/
ADM 3305 Business Simulation Analytics (3 units),https://catalogue.uottawa.ca/en/courses/adm/
